stages,label,ns_raw,ns_above_floor,ns_this_level,cycles,instructions,ipc,llc_misses,llc_misses_per_packet
1,entry,13,0,0,505271032,774823353,1.533,244042,0.2440
2,parse,52,37,37,717358982,1325753172,1.848,251162,0.2512
3,clock read,55,40,3,723279047,1334614596,1.845,287026,0.2870
4,stage 2 ICMP,58,43,3,740493862,1382385971,1.867,251909,0.2519
5,stage 3 source list,77,62,19,811326335,1583780879,1.952,262841,0.2628
6,stage 4 fragments,82,67,5,830647895,1619997687,1.950,264956,0.2650
7,stage 5 uRPF,84,69,2,840886385,1645408080,1.957,268946,0.2689
8,stage 6 signatures,103,88,19,911090846,1866884660,2.049,276433,0.2764
9,stage 7 buckets,136,121,33,1058908400,2177151100,2.056,277508,0.2775
