stages,label,ns_raw,ns_above_floor,ns_this_level,cycles,instructions,ipc,llc_misses,llc_misses_per_packet
1,entry,13,0,0,503740262,776849465,1.542,243796,0.2438
2,parse,41,26,26,716932885,1322963094,1.845,235852,0.2359
3,clock read,45,30,4,725840818,1338029977,1.843,253374,0.2534
4,stage 2 ICMP,47,32,2,739710578,1374155444,1.858,248479,0.2485
5,stage 3 source list,70,55,23,820512088,1577279694,1.922,264199,0.2642
6,stage 4 fragments,73,58,3,832393036,1611705800,1.936,253109,0.2531
7,stage 5 uRPF,73,58,0,832351170,1636708095,1.966,265161,0.2652
8,stage 6 signatures,96,81,23,955213202,1911609877,2.001,258696,0.2587
9,stage 7 buckets,120,105,24,1104093317,2221172951,2.012,261746,0.2617
