stages,label,ns_raw,ns_above_floor,ns_this_level,cycles,instructions,ipc,llc_misses,llc_misses_per_packet
1,entry,13,0,0,508551719,772288911,1.519,260893,0.2609
2,parse,50,35,35,606912422,1170591773,1.929,256639,0.2566
3,clock read,55,40,5,622624000,1185084819,1.903,268324,0.2683
4,stage 2 ICMP,57,42,2,627363798,1210959934,1.930,275989,0.2760
5,stage 3 source list,76,61,19,695475223,1414154109,2.033,265020,0.2650
6,stage 4 fragments,81,66,5,750554080,1515614021,2.019,263401,0.2634
7,stage 5 uRPF,90,75,9,772086490,1541174891,1.996,265225,0.2652
8,stage 6 signatures,111,96,21,863356038,1774628434,2.056,263000,0.2630
9,stage 7 buckets,136,121,25,956965915,1990450459,2.080,274237,0.2742
