variant,cpus,distribution,repeat,reported_ns_worst,elapsed_ms,runs_per_s,scaling
xdp_bucket_percpu_entry,1,same,3000000,86,301,9966777,1.00
xdp_bucket_percpu_entry,2,same,3000000,87,297,20202020,2.03
xdp_bucket_percpu_entry,3,same,3000000,90,315,28571429,2.87
xdp_bucket_percpu_entry,4,same,3000000,90,313,38338658,3.85
xdp_bucket_percpu_entry,1,adjacent,3000000,87,298,10067114,1.00
xdp_bucket_percpu_entry,2,adjacent,3000000,98,329,18237082,1.81
xdp_bucket_percpu_entry,3,adjacent,3000000,88,307,29315961,2.91
xdp_bucket_percpu_entry,4,adjacent,3000000,87,311,38585209,3.83
xdp_bucket_percpu_entry,1,spread,3000000,87,297,10101010,1.00
xdp_bucket_percpu_entry,2,spread,3000000,87,295,20338983,2.01
xdp_bucket_percpu_entry,3,spread,3000000,88,306,29411765,2.91
xdp_bucket_percpu_entry,4,spread,3000000,97,340,35294118,3.49
xdp_bucket_percpu_bank,1,same,3000000,86,299,10033445,1.00
xdp_bucket_percpu_bank,2,same,3000000,87,296,20270270,2.02
xdp_bucket_percpu_bank,3,same,3000000,87,296,30405405,3.03
xdp_bucket_percpu_bank,4,same,3000000,97,332,36144578,3.60
xdp_bucket_percpu_bank,1,adjacent,3000000,86,300,10000000,1.00
xdp_bucket_percpu_bank,2,adjacent,3000000,87,298,20134228,2.01
xdp_bucket_percpu_bank,3,adjacent,3000000,86,302,29801325,2.98
xdp_bucket_percpu_bank,4,adjacent,3000000,98,343,34985423,3.50
xdp_bucket_percpu_bank,1,spread,3000000,86,294,10204082,1.00
xdp_bucket_percpu_bank,2,spread,3000000,88,304,19736842,1.93
xdp_bucket_percpu_bank,3,spread,3000000,86,295,30508475,2.99
xdp_bucket_percpu_bank,4,spread,3000000,86,296,40540541,3.97
xdp_bucket_global_race,1,same,3000000,92,316,9493671,1.00
xdp_bucket_global_race,2,same,3000000,109,367,16348774,1.72
xdp_bucket_global_race,3,same,3000000,195,622,14469453,1.52
xdp_bucket_global_race,4,same,3000000,280,883,13590034,1.43
xdp_bucket_global_race,1,adjacent,3000000,84,290,10344828,1.00
xdp_bucket_global_race,2,adjacent,3000000,115,377,15915119,1.54
xdp_bucket_global_race,3,adjacent,3000000,213,678,13274336,1.28
xdp_bucket_global_race,4,adjacent,3000000,196,637,18838305,1.82
xdp_bucket_global_race,1,spread,3000000,84,289,10380623,1.00
xdp_bucket_global_race,2,spread,3000000,84,295,20338983,1.96
xdp_bucket_global_race,3,spread,3000000,85,300,30000000,2.89
xdp_bucket_global_race,4,spread,3000000,89,308,38961039,3.75
xdp_bucket_global_lock_entry,1,same,3000000,108,362,8287293,1.00
xdp_bucket_global_lock_entry,2,same,3000000,689,2109,2844950,0.34
xdp_bucket_global_lock_entry,3,same,3000000,1422,4307,2089622,0.25
xdp_bucket_global_lock_entry,4,same,3000000,1855,5618,2135991,0.26
xdp_bucket_global_lock_entry,1,adjacent,3000000,108,367,8174387,1.00
xdp_bucket_global_lock_entry,2,adjacent,3000000,162,523,11472275,1.40
xdp_bucket_global_lock_entry,3,adjacent,3000000,160,520,17307692,2.12
