variant,cpus,distribution,repeat,reported_ns_worst,elapsed_ms,runs_per_s,scaling
xdp_bucket_percpu_entry,1,same,3000000,86,298,10067114,1.00
xdp_bucket_percpu_entry,2,same,3000000,85,289,20761246,2.06
xdp_bucket_percpu_entry,3,same,3000000,85,289,31141869,3.09
xdp_bucket_percpu_entry,4,same,3000000,85,303,39603960,3.93
xdp_bucket_percpu_entry,1,adjacent,3000000,85,297,10101010,1.00
xdp_bucket_percpu_entry,2,adjacent,3000000,87,299,20066890,1.99
xdp_bucket_percpu_entry,3,adjacent,3000000,87,298,30201342,2.99
xdp_bucket_percpu_entry,4,adjacent,3000000,92,323,37151703,3.68
xdp_bucket_percpu_entry,1,spread,3000000,94,319,9404389,1.00
xdp_bucket_percpu_entry,2,spread,3000000,85,294,20408163,2.17
xdp_bucket_percpu_entry,3,spread,3000000,97,328,27439024,2.92
xdp_bucket_percpu_entry,4,spread,3000000,94,325,36923077,3.93
xdp_bucket_percpu_bank,1,same,3000000,87,306,9803922,1.00
xdp_bucket_percpu_bank,2,same,3000000,87,303,19801980,2.02
xdp_bucket_percpu_bank,3,same,3000000,88,304,29605263,3.02
xdp_bucket_percpu_bank,4,same,3000000,90,311,38585209,3.94
xdp_bucket_percpu_bank,1,adjacent,3000000,92,313,9584665,1.00
xdp_bucket_percpu_bank,2,adjacent,3000000,88,303,19801980,2.07
xdp_bucket_percpu_bank,3,adjacent,3000000,87,301,29900332,3.12
xdp_bucket_percpu_bank,4,adjacent,3000000,98,326,36809816,3.84
xdp_bucket_percpu_bank,1,spread,3000000,91,315,9523810,1.00
xdp_bucket_percpu_bank,2,spread,3000000,87,299,20066890,2.11
xdp_bucket_percpu_bank,3,spread,3000000,90,308,29220779,3.07
xdp_bucket_percpu_bank,4,spread,3000000,97,329,36474164,3.83
xdp_bucket_global_race,1,same,3000000,84,291,10309278,1.00
xdp_bucket_global_race,2,same,3000000,112,375,16000000,1.55
xdp_bucket_global_race,3,same,3000000,191,612,14705882,1.43
xdp_bucket_global_race,4,same,3000000,253,810,14814815,1.44
xdp_bucket_global_race,1,adjacent,3000000,84,286,10489510,1.00
xdp_bucket_global_race,2,adjacent,3000000,106,358,16759777,1.60
xdp_bucket_global_race,3,adjacent,3000000,189,603,14925373,1.42
xdp_bucket_global_race,4,adjacent,3000000,188,608,19736842,1.88
xdp_bucket_global_race,1,spread,3000000,86,299,10033445,1.00
xdp_bucket_global_race,2,spread,3000000,84,288,20833333,2.08
xdp_bucket_global_race,3,spread,3000000,86,294,30612245,3.05
xdp_bucket_global_race,4,spread,3000000,89,306,39215686,3.91
xdp_bucket_global_lock_entry,1,same,3000000,116,387,7751938,1.00
xdp_bucket_global_lock_entry,2,same,3000000,749,2285,2625821,0.34
xdp_bucket_global_lock_entry,3,same,3000000,1512,4574,1967643,0.25
xdp_bucket_global_lock_entry,4,same,3000000,1987,6005,1998335,0.26
xdp_bucket_global_lock_entry,1,adjacent,3000000,110,364,8241758,1.00
xdp_bucket_global_lock_entry,2,adjacent,3000000,237,751,7989348,0.97
xdp_bucket_global_lock_entry,3,adjacent,3000000,237,747,12048193,1.46
xdp_bucket_global_lock_entry,4,adjacent,3000000,179,578,20761246,2.52
xdp_bucket_global_lock_entry,1,spread,3000000,109,365,8219178,1.00
xdp_bucket_global_lock_entry,2,spread,3000000,109,370,16216216,1.97
xdp_bucket_global_lock_entry,3,spread,3000000,107,357,25210084,3.07
xdp_bucket_global_lock_entry,4,spread,3000000,115,384,31250000,3.80
xdp_bucket_global_lock_bank,1,same,3000000,115,390,7692308,1.00
xdp_bucket_global_lock_bank,2,same,3000000,731,2229,2691790,0.35
xdp_bucket_global_lock_bank,3,same,3000000,1439,4356,2066116,0.27
xdp_bucket_global_lock_bank,4,same,3000000,1877,5678,2113420,0.27
xdp_bucket_global_lock_bank,1,adjacent,3000000,110,370,8108108,1.00
xdp_bucket_global_lock_bank,2,adjacent,3000000,719,2206,2719855,0.34
xdp_bucket_global_lock_bank,3,adjacent,3000000,1431,4335,2076125,0.26
xdp_bucket_global_lock_bank,4,adjacent,3000000,1753,5534,2168413,0.27
xdp_bucket_global_lock_bank,1,spread,3000000,107,366,8196721,1.00
xdp_bucket_global_lock_bank,2,spread,3000000,623,1907,3146303,0.38
xdp_bucket_global_lock_bank,3,spread,3000000,1383,4186,2150024,0.26
xdp_bucket_global_lock_bank,4,spread,3000000,1742,5271,2276608,0.28
xdp_counter_percpu,1,same,3000000,19,94,31914894,1.00
xdp_counter_percpu,2,same,3000000,19,96,62500000,1.96
xdp_counter_percpu,3,same,3000000,19,97,92783505,2.91
xdp_counter_percpu,4,same,3000000,19,91,131868132,4.13
xdp_counter_percpu,1,adjacent,3000000,19,94,31914894,1.00
xdp_counter_percpu,2,adjacent,3000000,19,93,64516129,2.02
xdp_counter_percpu,3,adjacent,3000000,19,95,94736842,2.97
xdp_counter_percpu,4,adjacent,3000000,19,94,127659574,4.00
xdp_counter_percpu,1,spread,3000000,19,91,32967033,1.00
xdp_counter_percpu,2,spread,3000000,19,91,65934066,2.00
xdp_counter_percpu,3,spread,3000000,19,97,92783505,2.81
xdp_counter_percpu,4,spread,3000000,19,93,129032258,3.91
xdp_counter_shared,1,same,3000000,24,106,28301887,1.00
xdp_counter_shared,2,same,3000000,100,337,17804154,0.63
xdp_counter_shared,3,same,3000000,149,484,18595041,0.66
xdp_counter_shared,4,same,3000000,200,636,18867925,0.67
xdp_counter_shared,1,adjacent,3000000,24,107,28037383,1.00
xdp_counter_shared,2,adjacent,3000000,100,340,17647059,0.63
xdp_counter_shared,3,adjacent,3000000,147,478,18828452,0.67
xdp_counter_shared,4,adjacent,3000000,199,632,18987342,0.68
xdp_counter_shared,1,spread,3000000,25,112,26785714,1.00
