variant,cpus,distribution,repeat,reported_ns_worst,elapsed_ms,runs_per_s,scaling
xdp_bucket_percpu_entry,1,same,3000000,87,300,10000000,1.00
xdp_bucket_percpu_entry,2,same,3000000,91,315,19047619,1.90
xdp_bucket_percpu_entry,3,same,3000000,88,303,29702970,2.97
xdp_bucket_percpu_entry,4,same,3000000,91,314,38216561,3.82
xdp_bucket_percpu_entry,1,adjacent,3000000,90,315,9523810,1.00
xdp_bucket_percpu_entry,2,adjacent,3000000,87,298,20134228,2.11
xdp_bucket_percpu_entry,3,adjacent,3000000,87,299,30100334,3.16
xdp_bucket_percpu_entry,4,adjacent,3000000,92,315,38095238,4.00
xdp_bucket_percpu_entry,1,spread,3000000,87,299,10033445,1.00
xdp_bucket_percpu_entry,2,spread,3000000,87,304,19736842,1.97
xdp_bucket_percpu_entry,3,spread,3000000,88,298,30201342,3.01
xdp_bucket_percpu_entry,4,spread,3000000,88,310,38709677,3.86
xdp_bucket_percpu_bank,1,same,3000000,94,325,9230769,1.00
xdp_bucket_percpu_bank,2,same,3000000,97,331,18126888,1.96
xdp_bucket_percpu_bank,3,same,3000000,86,300,30000000,3.25
xdp_bucket_percpu_bank,4,same,3000000,93,329,36474164,3.95
xdp_bucket_percpu_bank,1,adjacent,3000000,86,294,10204082,1.00
xdp_bucket_percpu_bank,2,adjacent,3000000,86,296,20270270,1.99
xdp_bucket_percpu_bank,3,adjacent,3000000,86,297,30303030,2.97
xdp_bucket_percpu_bank,4,adjacent,3000000,92,318,37735849,3.70
xdp_bucket_percpu_bank,1,spread,3000000,95,328,9146341,1.00
xdp_bucket_percpu_bank,2,spread,3000000,86,295,20338983,2.22
xdp_bucket_percpu_bank,3,spread,3000000,86,298,30201342,3.30
xdp_bucket_percpu_bank,4,spread,3000000,86,298,40268456,4.40
xdp_bucket_global_race,1,same,3000000,84,294,10204082,1.00
xdp_bucket_global_race,2,same,3000000,122,400,15000000,1.47
xdp_bucket_global_race,3,same,3000000,165,539,16697588,1.64
xdp_bucket_global_race,4,same,3000000,219,698,17191977,1.68
xdp_bucket_global_race,1,adjacent,3000000,84,287,10452962,1.00
xdp_bucket_global_race,2,adjacent,3000000,121,399,15037594,1.44
xdp_bucket_global_race,3,adjacent,3000000,165,537,16759777,1.60
xdp_bucket_global_race,4,adjacent,3000000,165,535,22429907,2.15
xdp_bucket_global_race,1,spread,3000000,84,286,10489510,1.00
xdp_bucket_global_race,2,spread,3000000,90,309,19417476,1.85
xdp_bucket_global_race,3,spread,3000000,85,292,30821918,2.94
xdp_bucket_global_race,4,spread,3000000,95,325,36923077,3.52
xdp_bucket_global_lock_entry,1,same,3000000,115,386,7772021,1.00
xdp_bucket_global_lock_entry,2,same,3000000,718,2188,2742230,0.35
xdp_bucket_global_lock_entry,3,same,3000000,1516,4584,1963351,0.25
xdp_bucket_global_lock_entry,4,same,3000000,1966,6000,2000000,0.26
xdp_bucket_global_lock_entry,1,adjacent,3000000,107,360,8333333,1.00
xdp_bucket_global_lock_entry,2,adjacent,3000000,184,592,10135135,1.22
xdp_bucket_global_lock_entry,3,adjacent,3000000,166,537,16759777,2.01
xdp_bucket_global_lock_entry,4,adjacent,3000000,182,595,20168067,2.42
xdp_bucket_global_lock_entry,1,spread,3000000,107,360,8333333,1.00
xdp_bucket_global_lock_entry,2,spread,3000000,108,361,16620499,1.99
xdp_bucket_global_lock_entry,3,spread,3000000,108,361,24930748,2.99
xdp_bucket_global_lock_entry,4,spread,3000000,116,394,30456853,3.65
xdp_bucket_global_lock_bank,1,same,3000000,107,358,8379888,1.00
xdp_bucket_global_lock_bank,2,same,3000000,703,2149,2791996,0.33
xdp_bucket_global_lock_bank,3,same,3000000,1422,4309,2088652,0.25
xdp_bucket_global_lock_bank,4,same,3000000,1872,5666,2117896,0.25
xdp_bucket_global_lock_bank,1,adjacent,3000000,109,372,8064516,1.00
xdp_bucket_global_lock_bank,2,adjacent,3000000,713,2180,2752294,0.34
xdp_bucket_global_lock_bank,3,adjacent,3000000,1413,4288,2098881,0.26
xdp_bucket_global_lock_bank,4,adjacent,3000000,1857,5637,2128792,0.26
xdp_bucket_global_lock_bank,1,spread,3000000,115,381,7874016,1.00
xdp_bucket_global_lock_bank,2,spread,3000000,615,1879,3193188,0.41
xdp_bucket_global_lock_bank,3,spread,3000000,1365,4133,2177595,0.28
xdp_bucket_global_lock_bank,4,spread,3000000,1747,5284,2271007,0.29
xdp_counter_percpu,1,same,3000000,19,93,32258065,1.00
xdp_counter_percpu,2,same,3000000,19,96,62500000,1.94
xdp_counter_percpu,3,same,3000000,21,98,91836735,2.85
xdp_counter_percpu,4,same,3000000,19,102,117647059,3.65
xdp_counter_percpu,1,adjacent,3000000,19,91,32967033,1.00
xdp_counter_percpu,2,adjacent,3000000,19,92,65217391,1.98
xdp_counter_percpu,3,adjacent,3000000,19,96,93750000,2.84
xdp_counter_percpu,4,adjacent,3000000,19,97,123711340,3.75
xdp_counter_percpu,1,spread,3000000,19,90,33333333,1.00
xdp_counter_percpu,2,spread,3000000,19,97,61855670,1.86
xdp_counter_percpu,3,spread,3000000,19,94,95744681,2.87
xdp_counter_percpu,4,spread,3000000,21,99,121212121,3.64
xdp_counter_shared,1,same,3000000,25,111,27027027,1.00
xdp_counter_shared,2,same,3000000,92,311,19292605,0.71
xdp_counter_shared,3,same,3000000,132,435,20689655,0.77
xdp_counter_shared,4,same,3000000,161,526,22813688,0.84
xdp_counter_shared,1,adjacent,3000000,24,110,27272727,1.00
xdp_counter_shared,2,adjacent,3000000,85,290,20689655,0.76
xdp_counter_shared,3,adjacent,3000000,121,397,22670025,0.83
xdp_counter_shared,4,adjacent,3000000,160,535,22429907,0.82
xdp_counter_shared,1,spread,3000000,24,112,26785714,1.00
xdp_counter_shared,2,spread,3000000,92,315,19047619,0.71
xdp_counter_shared,3,spread,3000000,125,418,21531100,0.80
xdp_counter_shared,4,spread,3000000,163,525,22857143,0.85
