variant,cpus,distribution,repeat,reported_ns_worst,elapsed_ms,runs_per_s,scaling
xdp_bucket_percpu_entry,1,same,3000000,85,290,10344828,1.00
xdp_bucket_percpu_entry,2,same,3000000,88,300,20000000,1.93
xdp_bucket_percpu_entry,3,same,3000000,86,296,30405405,2.94
xdp_bucket_percpu_entry,4,same,3000000,86,303,39603960,3.83
xdp_bucket_percpu_entry,1,adjacent,3000000,87,297,10101010,1.00
xdp_bucket_percpu_entry,2,adjacent,3000000,87,298,20134228,1.99
xdp_bucket_percpu_entry,3,adjacent,3000000,85,296,30405405,3.01
xdp_bucket_percpu_entry,4,adjacent,3000000,98,332,36144578,3.58
xdp_bucket_percpu_entry,1,spread,3000000,92,320,9375000,1.00
xdp_bucket_percpu_entry,2,spread,3000000,85,295,20338983,2.17
xdp_bucket_percpu_entry,3,spread,3000000,86,295,30508475,3.25
xdp_bucket_percpu_entry,4,spread,3000000,85,299,40133779,4.28
xdp_bucket_percpu_bank,1,same,3000000,87,304,9868421,1.00
xdp_bucket_percpu_bank,2,same,3000000,89,307,19543974,1.98
xdp_bucket_percpu_bank,3,same,3000000,96,328,27439024,2.78
xdp_bucket_percpu_bank,4,same,3000000,98,352,34090909,3.45
xdp_bucket_percpu_bank,1,adjacent,3000000,87,300,10000000,1.00
xdp_bucket_percpu_bank,2,adjacent,3000000,86,295,20338983,2.03
xdp_bucket_percpu_bank,3,adjacent,3000000,90,305,29508197,2.95
xdp_bucket_percpu_bank,4,adjacent,3000000,86,299,40133779,4.01
xdp_bucket_percpu_bank,1,spread,3000000,86,293,10238908,1.00
xdp_bucket_percpu_bank,2,spread,3000000,87,315,19047619,1.86
xdp_bucket_percpu_bank,3,spread,3000000,88,313,28753994,2.81
xdp_bucket_percpu_bank,4,spread,3000000,89,307,39087948,3.82
xdp_bucket_global_race,1,same,3000000,84,288,10416667,1.00
xdp_bucket_global_race,2,same,3000000,122,404,14851485,1.43
xdp_bucket_global_race,3,same,3000000,180,575,15652174,1.50
xdp_bucket_global_race,4,same,3000000,250,789,15209125,1.46
xdp_bucket_global_race,1,adjacent,3000000,83,289,10380623,1.00
xdp_bucket_global_race,2,adjacent,3000000,120,399,15037594,1.45
