variant,cpus,distribution,repeat,reported_ns_worst,elapsed_ms,runs_per_s,scaling
xdp_bucket_percpu_entry,1,same,3000000,86,295,10169492,1.00
xdp_bucket_percpu_entry,2,same,3000000,86,306,19607843,1.93
xdp_bucket_percpu_entry,3,same,3000000,87,304,29605263,2.91
xdp_bucket_percpu_entry,4,same,3000000,86,299,40133779,3.95
xdp_bucket_percpu_entry,1,adjacent,3000000,89,303,9900990,1.00
xdp_bucket_percpu_entry,2,adjacent,3000000,86,303,19801980,2.00
xdp_bucket_percpu_entry,3,adjacent,3000000,86,300,30000000,3.03
xdp_bucket_percpu_entry,4,adjacent,3000000,86,327,36697248,3.71
xdp_bucket_percpu_entry,1,spread,3000000,85,299,10033445,1.00
xdp_bucket_percpu_entry,2,spread,3000000,86,305,19672131,1.96
xdp_bucket_percpu_entry,3,spread,3000000,85,301,29900332,2.98
xdp_bucket_percpu_entry,4,spread,3000000,94,318,37735849,3.76
xdp_bucket_percpu_bank,1,same,3000000,87,300,10000000,1.00
xdp_bucket_percpu_bank,2,same,3000000,97,330,18181818,1.82
xdp_bucket_percpu_bank,3,same,3000000,96,324,27777778,2.78
xdp_bucket_percpu_bank,4,same,3000000,88,300,40000000,4.00
xdp_bucket_percpu_bank,1,adjacent,3000000,85,295,10169492,1.00
xdp_bucket_percpu_bank,2,adjacent,3000000,88,299,20066890,1.97
xdp_bucket_percpu_bank,3,adjacent,3000000,86,296,30405405,2.99
xdp_bucket_percpu_bank,4,adjacent,3000000,88,302,39735099,3.91
xdp_bucket_percpu_bank,1,spread,3000000,86,301,9966777,1.00
xdp_bucket_percpu_bank,2,spread,3000000,87,298,20134228,2.02
xdp_bucket_percpu_bank,3,spread,3000000,85,297,30303030,3.04
xdp_bucket_percpu_bank,4,spread,3000000,87,312,38461538,3.86
xdp_bucket_global_race,1,same,3000000,84,290,10344828,1.00
xdp_bucket_global_race,2,same,3000000,146,475,12631579,1.22
xdp_bucket_global_race,3,same,3000000,187,602,14950166,1.45
xdp_bucket_global_race,4,same,3000000,250,804,14925373,1.44
xdp_bucket_global_race,1,adjacent,3000000,85,293,10238908,1.00
xdp_bucket_global_race,2,adjacent,3000000,124,406,14778325,1.44
xdp_bucket_global_race,3,adjacent,3000000,188,603,14925373,1.46
xdp_bucket_global_race,4,adjacent,3000000,188,607,19769357,1.93
xdp_bucket_global_race,1,spread,3000000,92,315,9523810,1.00
xdp_bucket_global_race,2,spread,3000000,88,303,19801980,2.08
xdp_bucket_global_race,3,spread,3000000,93,318,28301887,2.97
xdp_bucket_global_race,4,spread,3000000,88,312,38461538,4.04
xdp_bucket_global_lock_entry,1,same,3000000,105,353,8498584,1.00
xdp_bucket_global_lock_entry,2,same,3000000,645,1976,3036437,0.36
xdp_bucket_global_lock_entry,3,same,3000000,1274,3866,2327988,0.27
xdp_bucket_global_lock_entry,4,same,3000000,1676,5076,2364066,0.28
xdp_bucket_global_lock_entry,1,adjacent,3000000,105,352,8522727,1.00
xdp_bucket_global_lock_entry,2,adjacent,3000000,149,484,12396694,1.45
xdp_bucket_global_lock_entry,3,adjacent,3000000,151,492,18292683,2.15
xdp_bucket_global_lock_entry,4,adjacent,3000000,183,593,20236088,2.37
xdp_bucket_global_lock_entry,1,spread,3000000,107,358,8379888,1.00
xdp_bucket_global_lock_entry,2,spread,3000000,108,367,16348774,1.95
xdp_bucket_global_lock_entry,3,spread,3000000,113,373,24128686,2.88
xdp_bucket_global_lock_entry,4,spread,3000000,108,376,31914894,3.81
xdp_bucket_global_lock_bank,1,same,3000000,108,367,8174387,1.00
xdp_bucket_global_lock_bank,2,same,3000000,660,2021,2968827,0.36
xdp_bucket_global_lock_bank,3,same,3000000,1279,3874,2323180,0.28
xdp_bucket_global_lock_bank,4,same,3000000,1669,5064,2369668,0.29
xdp_bucket_global_lock_bank,1,adjacent,3000000,107,364,8241758,1.00
xdp_bucket_global_lock_bank,2,adjacent,3000000,644,1976,3036437,0.37
xdp_bucket_global_lock_bank,3,adjacent,3000000,1260,3820,2356021,0.29
xdp_bucket_global_lock_bank,4,adjacent,3000000,1716,5195,2309913,0.28
xdp_bucket_global_lock_bank,1,spread,3000000,107,358,8379888,1.00
xdp_bucket_global_lock_bank,2,spread,3000000,598,1833,3273322,0.39
xdp_bucket_global_lock_bank,3,spread,3000000,1243,3780,2380952,0.28
xdp_bucket_global_lock_bank,4,spread,3000000,1559,4750,2526316,0.30
xdp_counter_percpu,1,same,3000000,19,94,31914894,1.00
xdp_counter_percpu,2,same,3000000,19,97,61855670,1.94
xdp_counter_percpu,3,same,3000000,19,99,90909091,2.85
xdp_counter_percpu,4,same,3000000,19,94,127659574,4.00
xdp_counter_percpu,1,adjacent,3000000,19,92,32608696,1.00
xdp_counter_percpu,2,adjacent,3000000,19,95,63157895,1.94
xdp_counter_percpu,3,adjacent,3000000,19,98,91836735,2.82
xdp_counter_percpu,4,adjacent,3000000,19,96,125000000,3.83
xdp_counter_percpu,1,spread,3000000,19,93,32258065,1.00
xdp_counter_percpu,2,spread,3000000,19,99,60606061,1.88
xdp_counter_percpu,3,spread,3000000,20,100,90000000,2.79
xdp_counter_percpu,4,spread,3000000,20,101,118811881,3.68
xdp_counter_shared,1,same,3000000,24,115,26086957,1.00
xdp_counter_shared,2,same,3000000,104,346,17341040,0.66
xdp_counter_shared,3,same,3000000,157,509,17681729,0.68
xdp_counter_shared,4,same,3000000,207,667,17991004,0.69
xdp_counter_shared,1,adjacent,3000000,25,111,27027027,1.00
xdp_counter_shared,2,adjacent,3000000,108,359,16713092,0.62
xdp_counter_shared,3,adjacent,3000000,157,508,17716535,0.66
xdp_counter_shared,4,adjacent,3000000,207,667,17991004,0.67
xdp_counter_shared,1,spread,3000000,25,113,26548673,1.00
xdp_counter_shared,2,spread,3000000,105,352,17045455,0.64
xdp_counter_shared,3,spread,3000000,156,506,17786561,0.67
xdp_counter_shared,4,spread,3000000,207,664,18072289,0.68
