variant,cpus,distribution,repeat,reported_ns_worst,elapsed_ms,runs_per_s,scaling
xdp_bucket_percpu_entry,1,same,3000000,88,302,9933775,1.00
xdp_bucket_percpu_entry,2,same,3000000,85,298,20134228,2.03
xdp_bucket_percpu_entry,3,same,3000000,88,305,29508197,2.97
xdp_bucket_percpu_entry,4,same,3000000,88,325,36923077,3.72
xdp_bucket_percpu_entry,1,spread,3000000,85,296,10135135,1.00
xdp_bucket_percpu_entry,2,spread,3000000,85,295,20338983,2.01
xdp_bucket_percpu_entry,3,spread,3000000,95,321,28037383,2.77
xdp_bucket_percpu_entry,4,spread,3000000,86,295,40677966,4.01
xdp_bucket_percpu_bank,1,same,3000000,87,300,10000000,1.00
xdp_bucket_percpu_bank,2,same,3000000,86,291,20618557,2.06
xdp_bucket_percpu_bank,3,same,3000000,89,302,29801325,2.98
xdp_bucket_percpu_bank,4,same,3000000,86,302,39735099,3.97
xdp_bucket_percpu_bank,1,spread,3000000,86,294,10204082,1.00
xdp_bucket_percpu_bank,2,spread,3000000,89,304,19736842,1.93
xdp_bucket_percpu_bank,3,spread,3000000,89,311,28938907,2.84
xdp_bucket_percpu_bank,4,spread,3000000,88,314,38216561,3.75
xdp_bucket_global_race,1,same,3000000,84,285,10526316,1.00
xdp_bucket_global_race,2,same,3000000,121,400,15000000,1.42
xdp_bucket_global_race,3,same,3000000,182,582,15463918,1.47
xdp_bucket_global_race,4,same,3000000,245,770,15584416,1.48
xdp_bucket_global_race,1,spread,3000000,84,288,10416667,1.00
xdp_bucket_global_race,2,spread,3000000,119,403,14888337,1.43
xdp_bucket_global_race,3,spread,3000000,206,654,13761468,1.32
xdp_bucket_global_race,4,spread,3000000,198,629,19077901,1.83
xdp_bucket_global_lock_entry,1,same,3000000,107,362,8287293,1.00
xdp_bucket_global_lock_entry,2,same,3000000,696,2130,2816901,0.34
xdp_bucket_global_lock_entry,3,same,3000000,1426,4320,2083333,0.25
xdp_bucket_global_lock_entry,4,same,3000000,1833,5545,2164112,0.26
xdp_bucket_global_lock_entry,1,spread,3000000,107,366,8196721,1.00
xdp_bucket_global_lock_entry,2,spread,3000000,157,509,11787819,1.44
xdp_bucket_global_lock_entry,3,spread,3000000,158,515,17475728,2.13
xdp_bucket_global_lock_entry,4,spread,3000000,164,529,22684310,2.77
xdp_bucket_global_lock_bank,1,same,3000000,107,360,8333333,1.00
xdp_bucket_global_lock_bank,2,same,3000000,564,1727,3474233,0.42
xdp_bucket_global_lock_bank,3,same,3000000,1192,3624,2483444,0.30
xdp_bucket_global_lock_bank,4,same,3000000,1543,4672,2568493,0.31
xdp_bucket_global_lock_bank,1,spread,3000000,108,360,8333333,1.00
xdp_bucket_global_lock_bank,2,spread,3000000,531,1629,3683241,0.44
xdp_bucket_global_lock_bank,3,spread,3000000,1166,3536,2545249,0.31
xdp_bucket_global_lock_bank,4,spread,3000000,1578,4778,2511511,0.30
xdp_counter_percpu,1,same,3000000,19,93,32258065,1.00
xdp_counter_percpu,2,same,3000000,19,94,63829787,1.98
xdp_counter_percpu,3,same,3000000,19,98,91836735,2.85
xdp_counter_percpu,4,same,3000000,19,93,129032258,4.00
xdp_counter_percpu,1,spread,3000000,19,93,32258065,1.00
xdp_counter_percpu,2,spread,3000000,19,95,63157895,1.96
xdp_counter_percpu,3,spread,3000000,19,95,94736842,2.94
xdp_counter_percpu,4,spread,3000000,20,114,105263158,3.26
xdp_counter_shared,1,same,3000000,24,107,28037383,1.00
xdp_counter_shared,2,same,3000000,90,309,19417476,0.69
xdp_counter_shared,3,same,3000000,115,384,23437500,0.84
xdp_counter_shared,4,same,3000000,163,525,22857143,0.82
xdp_counter_shared,1,spread,3000000,24,110,27272727,1.00
xdp_counter_shared,2,spread,3000000,91,310,19354839,0.71
xdp_counter_shared,3,spread,3000000,132,441,20408163,0.75
xdp_counter_shared,4,spread,3000000,163,533,22514071,0.83
