variant,cpus,distribution,repeat,reported_ns_worst,elapsed_ms,runs_per_s,scaling
xdp_bucket_percpu_entry,1,same,3000000,85,292,10273973,1.00
xdp_bucket_percpu_entry,2,same,3000000,85,296,20270270,1.97
xdp_bucket_percpu_entry,3,same,3000000,87,299,30100334,2.93
xdp_bucket_percpu_entry,4,same,3000000,85,296,40540541,3.95
xdp_bucket_percpu_entry,1,adjacent,3000000,85,294,10204082,1.00
xdp_bucket_percpu_entry,2,adjacent,3000000,88,303,19801980,1.94
xdp_bucket_percpu_entry,3,adjacent,3000000,88,315,28571429,2.80
xdp_bucket_percpu_entry,4,adjacent,3000000,88,308,38961039,3.82
xdp_bucket_percpu_entry,1,spread,3000000,85,297,10101010,1.00
xdp_bucket_percpu_entry,2,spread,3000000,85,292,20547945,2.03
xdp_bucket_percpu_entry,3,spread,3000000,85,294,30612245,3.03
xdp_bucket_percpu_entry,4,spread,3000000,86,293,40955631,4.05
xdp_bucket_percpu_bank,1,same,3000000,89,304,9868421,1.00
xdp_bucket_percpu_bank,2,same,3000000,87,307,19543974,1.98
xdp_bucket_percpu_bank,3,same,3000000,89,307,29315961,2.97
xdp_bucket_percpu_bank,4,same,3000000,93,318,37735849,3.82
xdp_bucket_percpu_bank,1,adjacent,3000000,87,295,10169492,1.00
xdp_bucket_percpu_bank,2,adjacent,3000000,88,304,19736842,1.94
xdp_bucket_percpu_bank,3,adjacent,3000000,87,297,30303030,2.98
xdp_bucket_percpu_bank,4,adjacent,3000000,87,303,39603960,3.89
xdp_bucket_percpu_bank,1,spread,3000000,86,294,10204082,1.00
xdp_bucket_percpu_bank,2,spread,3000000,86,293,20477816,2.01
xdp_bucket_percpu_bank,3,spread,3000000,86,294,30612245,3.00
xdp_bucket_percpu_bank,4,spread,3000000,96,326,36809816,3.61
xdp_bucket_global_race,1,same,3000000,85,294,10204082,1.00
xdp_bucket_global_race,2,same,3000000,123,412,14563107,1.43
xdp_bucket_global_race,3,same,3000000,173,554,16245487,1.59
xdp_bucket_global_race,4,same,3000000,224,717,16736402,1.64
xdp_bucket_global_race,1,adjacent,3000000,84,288,10416667,1.00
xdp_bucket_global_race,2,adjacent,3000000,121,400,15000000,1.44
xdp_bucket_global_race,3,adjacent,3000000,167,537,16759777,1.61
xdp_bucket_global_race,4,adjacent,3000000,166,539,22263451,2.14
xdp_bucket_global_race,1,spread,3000000,84,289,10380623,1.00
xdp_bucket_global_race,2,spread,3000000,93,319,18808777,1.81
xdp_bucket_global_race,3,spread,3000000,85,303,29702970,2.86
xdp_bucket_global_race,4,spread,3000000,96,331,36253776,3.49
xdp_bucket_global_lock_entry,1,same,3000000,105,352,8522727,1.00
xdp_bucket_global_lock_entry,2,same,3000000,642,1962,3058104,0.36
xdp_bucket_global_lock_entry,3,same,3000000,1289,3908,2302968,0.27
xdp_bucket_global_lock_entry,4,same,3000000,1661,5037,2382370,0.28
xdp_bucket_global_lock_entry,1,adjacent,3000000,109,364,8241758,1.00
xdp_bucket_global_lock_entry,2,adjacent,3000000,152,499,12024048,1.46
xdp_bucket_global_lock_entry,3,adjacent,3000000,191,611,14729951,1.79
xdp_bucket_global_lock_entry,4,adjacent,3000000,160,523,22944551,2.78
xdp_bucket_global_lock_entry,1,spread,3000000,106,360,8333333,1.00
xdp_bucket_global_lock_entry,2,spread,3000000,106,362,16574586,1.99
xdp_bucket_global_lock_entry,3,spread,3000000,112,371,24258760,2.91
xdp_bucket_global_lock_entry,4,spread,3000000,107,361,33240997,3.99
xdp_bucket_global_lock_bank,1,same,3000000,107,355,8450704,1.00
xdp_bucket_global_lock_bank,2,same,3000000,743,2266,2647838,0.31
xdp_bucket_global_lock_bank,3,same,3000000,1451,4397,2046850,0.24
xdp_bucket_global_lock_bank,4,same,3000000,1789,5587,2147843,0.25
xdp_bucket_global_lock_bank,1,adjacent,3000000,108,362,8287293,1.00
xdp_bucket_global_lock_bank,2,adjacent,3000000,727,2225,2696629,0.33
xdp_bucket_global_lock_bank,3,adjacent,3000000,1418,4295,2095460,0.25
xdp_bucket_global_lock_bank,4,adjacent,3000000,1815,5496,2183406,0.26
xdp_bucket_global_lock_bank,1,spread,3000000,108,361,8310249,1.00
xdp_bucket_global_lock_bank,2,spread,3000000,640,1958,3064351,0.37
xdp_bucket_global_lock_bank,3,spread,3000000,1360,4114,2187652,0.26
xdp_bucket_global_lock_bank,4,spread,3000000,1708,5221,2298410,0.28
xdp_counter_percpu,1,same,3000000,19,104,28846154,1.00
xdp_counter_percpu,2,same,3000000,19,92,65217391,2.26
xdp_counter_percpu,3,same,3000000,19,95,94736842,3.28
xdp_counter_percpu,4,same,3000000,19,99,121212121,4.20
xdp_counter_percpu,1,adjacent,3000000,19,91,32967033,1.00
xdp_counter_percpu,2,adjacent,3000000,19,97,61855670,1.88
xdp_counter_percpu,3,adjacent,3000000,19,94,95744681,2.90
xdp_counter_percpu,4,adjacent,3000000,19,101,118811881,3.60
xdp_counter_percpu,1,spread,3000000,19,92,32608696,1.00
xdp_counter_percpu,2,spread,3000000,19,93,64516129,1.98
xdp_counter_percpu,3,spread,3000000,19,97,92783505,2.85
xdp_counter_percpu,4,spread,3000000,19,99,121212121,3.72
xdp_counter_shared,1,same,3000000,24,107,28037383,1.00
xdp_counter_shared,2,same,3000000,93,317,18927445,0.68
xdp_counter_shared,3,same,3000000,138,452,19911504,0.71
xdp_counter_shared,4,same,3000000,186,607,19769357,0.71
xdp_counter_shared,1,adjacent,3000000,25,111,27027027,1.00
xdp_counter_shared,2,adjacent,3000000,92,321,18691589,0.69
xdp_counter_shared,3,adjacent,3000000,138,448,20089286,0.74
xdp_counter_shared,4,adjacent,3000000,186,603,19900498,0.74
xdp_counter_shared,1,spread,3000000,24,115,26086957,1.00
xdp_counter_shared,2,spread,3000000,92,324,18518519,0.71
xdp_counter_shared,3,spread,3000000,139,460,19565217,0.75
xdp_counter_shared,4,spread,3000000,187,595,20168067,0.77
