stages,label,ns_raw,ns_above_floor,ns_this_level,cycles,instructions,ipc,llc_misses,llc_misses_per_packet
1,entry,13,0,0,505775893,774552073,1.531,247737,0.2477
2,parse,52,37,37,717336484,1337366903,1.864,272945,0.2729
3,clock read,55,40,3,725734291,1351469690,1.862,257724,0.2577
4,stage 2 ICMP,58,43,3,734488367,1379838852,1.879,265741,0.2657
5,stage 3 source list,67,52,9,761074309,1454973886,1.912,262822,0.2628
6,stage 4 fragments,69,54,2,771292204,1486504898,1.927,276404,0.2764
7,stage 5 uRPF,72,57,3,777225970,1511611334,1.945,279802,0.2798
8,stage 6 signatures,93,78,21,873465708,1748068584,2.001,279097,0.2791
9,stage 7 buckets,121,106,28,965759778,1940803801,2.010,289571,0.2896
