stages,label,ns_raw,ns_above_floor,ns_this_level,cycles,instructions,ipc,llc_misses,llc_misses_per_packet
1,entry,13,0,0,505849802,774579940,1.531,249647,0.2496
2,parse,52,37,37,725150660,1337311879,1.844,275731,0.2757
3,clock read,55,40,3,727814780,1350540365,1.856,281717,0.2817
4,stage 2 ICMP,58,43,3,738768039,1379564756,1.867,295047,0.2950
5,stage 3 source list,81,66,23,813946035,1578738882,1.940,293168,0.2932
6,stage 4 fragments,83,68,2,825745074,1616000665,1.957,267953,0.2680
7,stage 5 uRPF,84,69,1,830348548,1641558706,1.977,269843,0.2698
8,stage 6 signatures,108,93,24,939621361,1888614276,2.010,286142,0.2861
9,stage 7 buckets,130,115,22,1076903144,2186297159,2.030,294928,0.2949
