stages,label,ns_raw,ns_above_floor,ns_this_level,cycles,instructions,ipc,llc_misses,llc_misses_per_packet
1,entry,14,0,0,556433477,879478374,1.581,300125,0.3001
2,parse,50,35,35,840959158,1600150499,1.903,388631,0.3886
3,clock read,48,33,-2,843322232,1607548993,1.906,369930,0.3699
4,stage 2 ICMP,50,35,2,842771926,1637259879,1.943,362720,0.3627
5,stage 3 source list,70,55,20,905750847,1823402847,2.013,360856,0.3609
6,stage 4 fragments,72,57,2,925438902,1866722047,2.017,379456,0.3795
7,stage 5 uRPF,74,59,2,931827863,1892562780,2.031,401412,0.4014
8,stage 6 signatures,94,79,20,1247459181,2633844215,2.111,487816,0.4878
9,stage 7 buckets,133,118,39,1582943973,3277463278,2.070,545174,0.5452
