stages,label,ns_raw,ns_above_floor,ns_this_level,cycles,instructions,ipc,llc_misses,llc_misses_per_packet
1,entry,13,0,0,505415136,775186694,1.534,243891,0.2439
2,parse,51,36,36,713295897,1325010710,1.858,259661,0.2597
3,clock read,54,39,3,718995373,1334547174,1.856,262023,0.2620
4,stage 2 ICMP,57,42,3,738404882,1382853794,1.873,257822,0.2578
5,stage 3 source list,79,64,22,820250490,1584925924,1.932,281157,0.2812
6,stage 4 fragments,81,66,2,832461822,1621044731,1.947,291528,0.2915
7,stage 5 uRPF,84,69,3,837490133,1646493698,1.966,283670,0.2837
8,stage 6 signatures,109,94,25,929897991,1867813168,2.009,280417,0.2804
9,stage 7 buckets,139,124,30,1071691919,2178277284,2.033,291238,0.2912
