stages,label,ns_raw,ns_above_floor,ns_this_level,cycles,instructions,ipc,llc_misses,llc_misses_per_packet
1,entry,13,0,0,507376204,774192585,1.526,290531,0.2905
2,parse,42,27,27,722632945,1320587120,1.827,307564,0.3076
3,clock read,51,36,9,744261610,1335604892,1.795,311670,0.3117
4,stage 2 ICMP,47,32,-4,740275339,1371684753,1.853,302911,0.3029
5,stage 3 source list,67,52,20,827524393,1590523072,1.922,347171,0.3472
6,stage 4 fragments,71,56,4,843095526,1627943785,1.931,335652,0.3357
7,stage 5 uRPF,76,61,5,852250825,1653356318,1.940,343765,0.3438
8,stage 6 signatures,97,82,21,984990947,1933214742,1.963,441533,0.4415
9,stage 7 buckets,125,110,28,1140686058,2254668865,1.977,418768,0.4188
