stages,label,ns_raw,ns_above_floor,ns_this_level,cycles,instructions,ipc,llc_misses,llc_misses_per_packet
1,entry,13,0,0,504208712,774311385,1.536,238306,0.2383
2,parse,41,26,26,698360590,1271303710,1.820,278863,0.2789
3,clock read,44,29,3,704370950,1290429855,1.832,259927,0.2599
4,stage 2 ICMP,47,32,3,715578158,1318590604,1.843,257183,0.2572
5,stage 3 source list,69,54,22,805498537,1545935179,1.919,274050,0.2741
6,stage 4 fragments,71,56,2,823130497,1589369500,1.931,282883,0.2829
7,stage 5 uRPF,74,59,3,829445887,1614212346,1.946,260343,0.2603
8,stage 6 signatures,97,82,23,961559775,1898799830,1.975,300556,0.3006
9,stage 7 buckets,122,107,25,1132671626,2232568315,1.971,281557,0.2816
