stages,label,ns_raw,ns_above_floor,ns_this_level,cycles,instructions,ipc,llc_misses,llc_misses_per_packet
1,entry,13,0,0,506441661,777013509,1.534,242581,0.2426
2,parse,87,72,72,760085148,1502261832,1.976,300651,0.3007
3,clock read,91,76,4,764583814,1516300569,1.983,254935,0.2549
4,stage 2 ICMP,93,78,2,772167061,1543996897,2.000,251473,0.2515
5,stage 3 source list,119,104,26,910863751,1825482687,2.004,285772,0.2858
6,stage 4 fragments,119,104,0,909935635,1852615478,2.036,316928,0.3169
7,stage 5 uRPF,124,109,5,919857809,1878712837,2.042,268316,0.2683
8,stage 6 signatures,165,150,41,1079327906,2219431400,2.056,269883,0.2699
9,stage 7 buckets,193,178,28,1270091458,2571930995,2.025,298372,0.2984
