stages,label,ns_raw,ns_above_floor,ns_this_level,cycles,instructions,ipc,llc_misses,llc_misses_per_packet
1,entry,13,0,0,503546766,774404807,1.538,241958,0.2420
2,parse,54,39,39,713301191,1348170016,1.890,261186,0.2612
3,clock read,57,42,3,727199163,1362829655,1.874,260946,0.2609
4,stage 2 ICMP,59,44,2,732176306,1394199565,1.904,260406,0.2604
5,stage 3 source list,80,65,21,805250339,1594495042,1.980,260247,0.2602
6,stage 4 fragments,84,69,4,822156944,1630897959,1.984,268228,0.2682
7,stage 5 uRPF,86,71,2,827465630,1655952018,2.001,271413,0.2714
8,stage 6 signatures,111,96,25,945073428,1907022213,2.018,290060,0.2901
9,stage 7 buckets,141,126,30,1105600309,2205199774,1.995,301194,0.3012
